Títulos,Categorias,Preços(£),Avaliações,Estocagem
Doctor Sleep (The Shining #2),Horror,Â40.12,Two,14
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),Fantasy,Â37.51,Five,14
Dear Mr. Knightley,Fiction,Â11.21,Five,14
Daily Fantasy Sports,Default,Â36.58,One,14
Crazy Love: Overwhelmed by a Relentless God,Christian,Â47.72,Two,14
Cometh the Hour (The Clifton Chronicles #6),Fiction,Â25.01,Three,14
Code Name Verity (Code Name Verity #1),Add a comment,Â22.13,Four,14
Clockwork Angel (The Infernal Devices #1),Default,Â44.14,One,14
City of Glass (The Mortal Instruments #3),Fantasy,Â56.02,Four,14
City of Fallen Angels (The Mortal Instruments #4),Default,Â11.23,Four,14
City of Bones (The Mortal Instruments #1),Default,Â43.28,One,14
City of Ashes (The Mortal Instruments #2),Default,Â47.27,One,14
Cell,Add a comment,Â20.29,Four,14
Catching Jordan (Hundred Oaks),Young Adult,Â50.83,Three,14
"Carry On, Warrior: Thoughts on Life Unarmed",Default,Â31.85,Three,14
Carrie,Default,Â46.23,Two,14
Buying In: The Secret Dialogue Between What We Buy and Who We Are,Nonfiction,Â37.80,Four,14
Brain on Fire: My Month of Madness,Nonfiction,Â49.32,Five,14
Batman: Europa,Sequential Art,Â32.01,Two,14
Barefoot Contessa Back to Basics,Food and Drink,Â28.01,One,14
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,Food and Drink,Â50.62,Five,14
Balloon Animals,Fiction,Â17.03,Three,14
Art Ops Vol. 1,Sequential Art,Â48.80,Three,14
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),Young Adult,Â58.14,Four,14
Angels Walking (Angels Walking #1),Add a comment,Â34.20,Two,14
Angels & Demons (Robert Langdon #1),Default,Â51.48,Three,14
All the Light We Cannot See,Historical,Â29.87,Five,14
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Sequential Art,Â10.90,Two,14
Abstract City,Nonfiction,Â56.37,Five,14
A Time of Torment (Charlie Parker #14),Mystery,Â48.35,Five,14
A Study in Scarlet (Sherlock Holmes #1),Mystery,Â16.73,Two,14
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",Add a comment,Â56.48,Two,14
A People's History of the United States,Add a comment,Â40.79,Two,14
A Man Called Ove,Fiction,Â39.72,One,14
A Distant Mirror: The Calamitous 14th Century,History,Â14.58,Three,14
A Brush of Wings (Angels Walking #3),Add a comment,Â55.51,One,14
1491: New Revelations of the Americas Before Columbus,History,Â21.80,Three,14
"The Three Searches, Meaning, and the Story",Default,Â13.33,Three,13
Searching for Meaning in Gailana,Fantasy,Â38.73,One,13
Rook,Add a comment,Â37.86,Four,13
My Kitchen Year: 136 Recipes That Saved My Life,Food and Drink,Â11.53,Two,13
13 Hours: The Inside Account of What Really Happened In Benghazi,Nonfiction,Â27.06,One,13
Will You Won't You Want Me?,Womens Fiction,Â13.86,Three,12
Tipping Point for Planet Earth: How Close Are We to the Edge?,Science,Â37.55,One,12
The Star-Touched Queen,Fantasy,Â32.30,Five,12
The Silent Sister (Riley MacPherson #1),Fiction,Â46.29,Five,12
The Midnight Watch: A Novel of the Titanic and the Californian,Add a comment,Â26.20,One,12
The Lonely City: Adventures in the Art of Being Alone,Nonfiction,Â33.26,Two,12
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,Add a comment,Â59.15,Four,12
The Golden Condom: And Other Essays on Love Lost and Found,Psychology,Â39.43,One,12
The Epidemic (The Program 0.6),Young Adult,Â14.44,Five,12
The Dinner Party,Fiction,Â56.54,Two,12
The Diary of a Young Girl,Nonfiction,Â59.90,Three,12
The Children,Add a comment,Â11.88,Three,12
Stars Above (The Lunar Chronicles #4.5),Young Adult,Â48.05,Two,12
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,Nonfiction,Â21.21,Three,12
Raspberry Pi Electronics Projects for the Evil Genius,Default,Â49.67,Four,12
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,Business,Â43.14,One,12
Psycho: Sanitarium (Psycho #1.5),Horror,Â36.97,Five,12
Poisonous (Max Revere Novels #3),Mystery,Â26.80,Three,12
One with You (Crossfire #5),Add a comment,Â15.71,Four,12
No Love Allowed (Dodge Cove #1),Young Adult,Â54.65,Four,12
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,Â54.36,Four,12
Most Wanted,Mystery,Â35.28,Three,12
"Love, Lies and Spies",Historical Fiction,Â20.55,Two,12
How to Speak Golf: An Illustrated Guide to Links Lingo,Default,Â58.32,Five,12
Hide Away (Eve Duncan #20),Mystery,Â11.84,One,12
Furiously Happy: A Funny Book About Horrible Things,Nonfiction,Â41.46,Four,12
Everyday Italian: 125 Simple and Delicious Recipes,Food and Drink,Â20.10,Five,12
Equal Is Unfair: America's Misguided Fight Against Income Inequality,Politics,Â56.86,One,12
Eleanor & Park,Default,Â56.51,Five,12
Dirty (Dive Bar #1),Romance,Â40.83,Four,12
Can You Keep a Secret? (Fear Street Relaunch #4),Horror,Â48.64,One,12
Boar Island (Anna Pigeon #19),Mystery,Â59.48,Three,12
A Paris Apartment,Historical Fiction,Â39.01,Four,12
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",Food and Drink,Â38.77,One,12
Troublemaker: Surviving Hollywood and Scientology,Default,Â48.39,Two,11
The Widow,Mystery,Â27.26,Two,11
"The Sleep Revolution: Transforming Your Life, One Night at a Time",Nonfiction,Â11.68,Four,11
The Improbability of Love,Fiction,Â59.45,One,11
The Art of Startup Fundraising,Business,Â21.00,Three,11
Take Me Home Tonight (Rock Star Romance #3),Romance,Â53.98,Three,11
Sleeping Giants (Themis Files #1),Science Fiction,Â48.74,One,11
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",Biography,Â21.15,Two,11
Playing with Fire,Mystery,Â13.71,Three,11
Off the Hook (Fishing for Trouble #1),Romance,Â47.67,Three,11
Mothering Sunday,Fiction,Â13.34,Two,11
"Mother, Can You Not?",Nonfiction,Â16.89,Five,11
M Train,Autobiography,Â27.18,One,11
Lilac Girls,Historical Fiction,Â17.28,Two,11
Lies and Other Acts of Love,Fiction,Â45.14,One,11
Lab Girl,Autobiography,Â40.85,One,11
Keep Me Posted,Womens Fiction,Â20.46,Four,11
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Psychology,Â56.27,Three,11
Grey (Fifty Shades #4),Womens Fiction,Â48.49,Four,11
"Exit, Pursued by a Bear",Young Adult,Â51.34,Four,11
Daredevils,Fiction,Â16.34,Three,11
Cravings: Recipes for What You Want to Eat,Food and Drink,Â20.50,Three,11
Born for This: How to Find the Work You Were Meant to Do,Business,Â21.59,Five,11
Arena,Science Fiction,Â21.36,Four,11
Adultery,Default,Â20.88,Five,11
A Mother's Reckoning: Living in the Aftermath of Tragedy,Nonfiction,Â19.53,Three,11
A Gentleman's Position (Society of Gentlemen #3),Romance,Â14.75,Five,11
11/22/63,Fiction,Â48.48,Three,11
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Nonfiction,Â24.57,Two,10
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,Health,Â49.71,Five,10
Without Shame,Add a comment,Â48.27,Five,9
Watchmen,Add a comment,Â58.05,Four,9
Unlimited Intuition Now,Default,Â58.87,Four,9
Underlying Notes,Default,Â11.82,Two,9
The Shack,Fiction,Â28.03,One,9
The New Brand You: Your New Image Makes the Sale for You,Default,Â44.05,Five,9
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",Food and Drink,Â12.34,Four,9
The Flowers Lied,Default,Â16.68,Two,9
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Science,Â55.91,One,9
The Book of Mormon,Religion,Â24.57,Three,9
The Art and Science of Low Carbohydrate Living,Health,Â52.98,Five,9
The Alien Club,Young Adult,Â54.40,One,9
Suzie Snowflake: One beautiful flake (a self-esteem story),Novels,Â54.81,Five,9
Nap-a-Roo,Childrens,Â25.08,One,9
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",Default,Â10.41,Four,9
Modern Day Fables,Default,Â47.44,Two,9
If I Gave You God's Phone Number....: Searching for Spirituality in America,Spirituality,Â20.91,One,9
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Sequential Art,Â33.95,Four,9
Dress Your Family in Corduroy and Denim,Humor,Â43.68,Three,9
Don't Forget Steven,Young Adult,Â33.23,One,9
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,Nonfiction,Â35.92,Two,9
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,Art,Â48.63,Four,9
A Shard of Ice (The Black Symphony Saga #1),Fantasy,Â56.63,Three,9
A Hero's Curse (The Unseen Chronicles #1),Add a comment,Â50.49,Three,9
23 Degrees South: A Tropical Tale of Changing Whether...,Add a comment,Â35.79,Two,9
"Zero to One: Notes on Startups, or How to Build the Future",Nonfiction,Â34.06,Three,8
Why Not Me?,Nonfiction,Â17.76,One,8
When Breath Becomes Air,Nonfiction,Â39.36,Two,8
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,Â36.94,Two,8
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),Default,Â43.62,Five,8
The New Drawing on the Right Side of the Brain,Art,Â43.02,Three,8
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",Nonfiction,Â28.45,Four,8
The Martian (The Martian #1),Default,Â41.39,Two,8
The High Mountains of Portugal,Fiction,Â51.15,One,8
The Grownup,Short Stories,Â35.88,One,8
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Business,Â36.91,One,8
South of Sunshine,Young Adult,Â28.93,One,8
Smarter Faster Better: The Secrets of Being Productive in Life and Business,Nonfiction,Â38.89,Five,8
Silence in the Dark (Logan Point #4),Suspense,Â58.33,Three,8
Shadows of the Past (Logan Point #1),Christian Fiction,Â39.67,Five,8
Roller Girl,Sequential Art,Â14.10,Five,8
Rising Strong,Nonfiction,Â21.82,Three,8
Proofs of God: Classical Arguments from Tertullian to Barth,Philosophy,Â54.21,One,8
Please Kill Me: The Uncensored Oral History of Punk,Music,Â31.19,Four,8
Out of Print: City Lights Spotlight No. 14,Poetry,Â53.64,Five,8
My Life Next Door (My Life Next Door ),Young Adult,Â36.39,Five,8
Miller's Valley,Fiction,Â58.54,Two,8
Man's Search for Meaning,Nonfiction,Â29.48,Three,8
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",Nonfiction,Â25.06,Two,8
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,Nonfiction,Â12.55,Three,8
Les Fleurs du Mal,Poetry,Â29.04,Five,8
Left Behind (Left Behind #1),Default,Â40.72,Two,8
Kill 'Em and Leave: Searching for James Brown and the American Soul,Music,Â45.05,Five,8
Kierkegaard: A Christian Missionary to Christians,Philosophy,Â47.13,One,8
John Vassos: Industrial Design for Modern Life,Default,Â20.22,Four,8
I'll Give You the Sun,Default,Â56.48,One,8
I Will Find You,Nonfiction,Â44.21,One,8
Hystopia: A Novel,Fiction,Â21.96,Four,8
Howl and Other Poems,Poetry,Â40.45,Two,8
History of Beauty,Art,Â10.29,Four,8
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Default,Â52.86,Two,8
Future Shock (Future Shock #1),Young Adult,Â55.65,Five,8
Ender's Game (The Ender Quintet #1),Default,Â43.64,One,8
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,Science,Â28.41,One,8
Death by Leisure: A Cautionary Tale,Default,Â37.51,Four,8
Brilliant Beacons: A History of the American Lighthouse,History,Â11.45,Three,8
Brazen: The Courage to Find the You That's Been Hiding,Nonfiction,Â19.22,Two,8
Between the World and Me,Nonfiction,Â56.91,Four,8
Being Mortal: Medicine and What Matters in the End,Nonfiction,Â55.06,Four,8
"A Murder Over a Girl: Justice, Gender, Junior High",Nonfiction,Â13.20,Three,8
32 Yolks,Food and Drink,Â53.63,Two,8
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",History,Â44.48,Five,8
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Self Help,Â12.08,Three,7
Wildlife of New York: A Five-Borough Coloring Book,Default,Â22.14,Two,7
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,Â25.37,Five,7
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,Spirituality,Â46.33,Two,7
Under the Tuscan Sun,Travel,Â37.33,Three,7
Toddlers Are A**holes: It's Not Your Fault,Humor,Â25.55,One,7
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,Default,Â34.72,One,7
The Whale,Childrens,Â35.96,Four,7
The Story of Art,Art,Â41.14,Four,7
The Origin of Species,Science,Â10.01,Four,7
The Great Gatsby,Default,Â36.05,Four,7
The Good Girl,Default,Â49.03,Three,7
The Glass Castle,Add a comment,Â16.24,One,7
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,Biography,Â39.55,One,7
The Drowning Girls,Add a comment,Â35.67,Three,7
The Constant Princess (The Tudor Court #1),Historical Fiction,Â16.62,Three,7
The Bourne Identity (Jason Bourne #1),Fiction,Â42.78,Four,7
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,Â52.30,Five,7
The Art Book,Art,Â32.34,Two,7
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Default,Â33.17,Four,7
Team of Rivals: The Political Genius of Abraham Lincoln,Add a comment,Â20.12,Five,7
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Default,Â20.90,Two,7
"Sit, Stay, Love",Romance,Â20.90,Three,7
Sister Dear,Fiction,Â40.20,Four,7
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",Childrens,Â52.87,Three,7
"Rich Dad, Poor Dad",Business,Â51.74,One,7
Raymie Nightingale,Childrens,Â34.41,Two,7
Playing from the Heart,Childrens,Â32.38,One,7
Nightstruck: A Novel,Young Adult,Â50.35,Four,7
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",Food and Drink,Â11.38,Five,7
Meternity,Womens Fiction,Â43.58,Three,7
Memoirs of a Geisha,Fiction,Â49.67,Three,7
Like Never Before (Walker Family #2),Christian Fiction,Â28.77,Two,7
Life of Pi,Default,Â13.22,Four,7
Leave This Song Behind: Teen Poetry at Its Best,Poetry,Â51.17,Five,7
King's Folly (The Kinsman Chronicles #1),Fantasy,Â39.61,Five,7
John Adams,Add a comment,Â57.43,Four,7
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),Food and Drink,Â46.01,Four,7
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,Food and Drink,Â28.25,Two,7
Good in Bed (Cannie Shapiro #1),Add a comment,Â37.05,Five,7
"Fruits Basket, Vol. 7 (Fruits Basket #7)",Sequential Art,Â19.57,One,7
For the Love: Fighting for Grace in a World of Impossible Standards,Nonfiction,Â45.13,Three,7
Finding God in the Ruins: How God Redeems Pain,Nonfiction,Â46.64,Two,7
Every Heart a Doorway (Every Heart A Doorway #1),Fantasy,Â12.16,Five,7
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,Â20.89,Four,7
Counted With the Stars (Out from Egypt #1),Christian Fiction,Â17.97,Five,7
"Chronicles, Vol. 1",Music,Â52.60,Two,7
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Christian,Â25.77,One,7
Benjamin Franklin: An American Life,Biography,Â48.19,Three,7
"At The Existentialist CafÃ©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Philosophy,Â29.93,Five,7
A Summer In Europe,Travel,Â44.34,Two,7
A Short History of Nearly Everything,History,Â52.40,Five,7
A Gathering of Shadows (Shades of Magic #2),Fantasy,Â44.81,Four,7
The Sound Of Love,Default,Â57.84,Five,6
The Rise and Fall of the Third Reich: A History of Nazi Germany,History,Â39.67,Two,6
The Perks of Being a Wallflower,Default,Â55.02,Three,6
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,Â24.80,Four,6
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Nonfiction,Â59.45,Four,6
The Makings of a Fatherless Child,Default,Â31.58,Two,6
The Joy of Cooking,Add a comment,Â43.27,Four,6
The Invention of Wings,Historical Fiction,Â37.34,One,6
The Hobbit (Middle-Earth Universe),Default,Â17.80,Five,6
The Great Railway Bazaar,Travel,Â30.54,One,6
The Golden Compass (His Dark Materials #1),Add a comment,Â18.77,One,6
The God Delusion,Add a comment,Â46.85,Three,6
The Girl You Left Behind (The Girl You Left Behind #1),Historical,Â15.79,One,6
The Fellowship of the Ring (The Lord of the Rings #1),Default,Â10.27,Two,6
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),Poetry,Â15.42,Five,6
The Barefoot Contessa Cookbook,Food and Drink,Â59.92,Five,6
Tell the Wolves I'm Home,Young Adult,Â50.96,Two,6
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,Default,Â30.60,Three,6
Pride and Prejudice,Add a comment,Â19.27,Four,6
Musicophilia: Tales of Music and the Brain,Default,Â46.58,One,6
Mere Christianity,Add a comment,Â48.51,Three,6
Me Before You (Me Before You #1),Fiction,Â19.02,One,6
In the Woods (Dublin Murder Squad #1),Mystery,Â38.38,Two,6
In Cold Blood,Nonfiction,Â49.98,Four,6
How to Stop Worrying and Start Living,Self Help,Â46.49,Five,6
Give It Back,Thriller,Â18.32,Two,6
"Girl, Interrupted",Nonfiction,Â42.14,Three,6
Fun Home: A Family Tragicomic,Add a comment,Â56.59,Four,6
"Fruits Basket, Vol. 6 (Fruits Basket #6)",Sequential Art,Â20.96,Four,6
Deception Point,Fiction,Â40.32,Four,6
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Sequential Art,Â36.39,Three,6
Catherine the Great: Portrait of a Woman,History,Â58.55,Four,6
Better Homes and Gardens New Cook Book,Food and Drink,Â39.61,Three,6
An Unquiet Mind: A Memoir of Moods and Madness,Psychology,Â21.30,Three,6
A Year in Provence (Provence #1),Travel,Â56.88,Four,6
World Without End (The Pillars of the Earth #2),Historical Fiction,Â32.97,Four,5
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",Young Adult,Â47.31,Four,5
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,Nonfiction,Â48.67,Two,5
Where She Went (If I Stay #2),Young Adult,Â41.73,Four,5
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Default,Â53.68,Four,5
Two Summers,Young Adult,Â14.64,One,5
This Is Your Brain on Music: The Science of a Human Obsession,Music,Â38.40,One,5
The Secret Garden,Classics,Â15.08,Four,5
The Raven King (The Raven Cycle #4),Add a comment,Â30.57,Two,5
The Raven Boys (The Raven Cycle #1),Fantasy,Â57.74,Four,5
The Power Greens Cookbook: 140 Delicious Superfood Recipes,Food and Drink,Â11.05,Five,5
The Metamorphosis,Classics,Â28.58,One,5
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,History,Â42.91,Five,5
The Little Paris Bookshop,Fiction,Â24.73,Three,5
The Hiding Place,History,Â55.91,Four,5
The Grand Design,Science,Â13.76,Three,5
The Firm,Fiction,Â45.56,Three,5
The Fault in Our Stars,Default,Â47.22,One,5
The False Prince (The Ascendance Trilogy #1),Fantasy,Â56.00,Five,5
The Expatriates,Fiction,Â44.58,Two,5
The Dream Thieves (The Raven Cycle #2),Default,Â34.50,One,5
The Darkest Corners,Young Adult,Â11.33,Five,5
The Crossover,Poetry,Â38.77,Four,5
The 5th Wave (The 5th Wave #1),Default,Â11.83,Two,5
Tell the Wind and Fire,Fantasy,Â45.51,Three,5
Tell Me Three Things,Young Adult,Â41.81,One,5
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,Nonfiction,Â25.15,Four,5
Siddhartha,Fiction,Â34.22,Five,5
Shiver (The Wolves of Mercy Falls #1),Default,Â16.23,Five,5
Remember Me?,Default,Â11.48,Three,5
Red Dragon (Hannibal Lecter #1),Horror,Â23.37,Three,5
Peak: Secrets from the New Science of Expertise,Science,Â16.28,Two,5
My Mother Was Nuts,Nonfiction,Â31.63,Four,5
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,Food and Drink,Â24.91,Five,5
Maybe Something Beautiful: How Art Transformed a Neighborhood,Childrens,Â22.54,One,5
Lola and the Boy Next Door (Anna and the French Kiss #2),Young Adult,Â23.63,Four,5
Logan Kade (Fallen Crest High #5.5),Academic,Â13.12,Two,5
Last One Home (New Beginnings #1),Fiction,Â59.98,Three,5
Killing Floor (Jack Reacher #1),Thriller,Â31.49,Four,5
Kill the Boy Band,Young Adult,Â15.52,Five,5
Isla and the Happily Ever After (Anna and the French Kiss #3),Young Adult,Â48.13,Five,5
If I Stay (If I Stay #1),Default,Â38.13,Five,5
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),Default,Â36.55,Two,5
Harry Potter and the Deathly Hallows (Harry Potter #7),Default,Â23.32,One,5
"Fruits Basket, Vol. 5 (Fruits Basket #5)",Sequential Art,Â16.33,One,5
Foundation (Foundation (Publication Order) #1),Science Fiction,Â32.42,One,5
Fool Me Once,Default,Â16.96,One,5
Find Her (Detective D.D. Warren #8),Add a comment,Â22.37,One,5
Evicted: Poverty and Profit in the American City,Add a comment,Â42.27,One,5
Drama,Default,Â38.70,Two,5
Dracula the Un-Dead,Horror,Â35.63,Five,5
Digital Fortress,Fiction,Â58.00,Five,5
"Death Note, Vol. 5: Whiteout (Death Note #5)",Sequential Art,Â52.41,One,5
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",Nonfiction,Â32.35,Three,5
Critique of Pure Reason,Philosophy,Â20.75,One,5
Booked,Poetry,Â17.49,Five,5
"Blue Lily, Lily Blue (The Raven Cycle #3)",Default,Â34.13,Five,5
Approval Junkie: Adventures in Caring Too Much,Autobiography,Â58.81,Five,5
An Abundance of Katherines,Young Adult,Â10.00,Five,5
America's War for the Greater Middle East: A Military History,History,Â51.22,Two,5
Alight (The Generations Trilogy #2),Default,Â58.59,Four,5
A Girl's Guide to Moving On (New Beginnings #2),Romance,Â31.30,One,5
A Game of Thrones (A Song of Ice and Fire #1),Add a comment,Â46.42,Two,5
A Feast for Crows (A Song of Ice and Fire #4),Fantasy,Â17.21,Four,5
A Clash of Kings (A Song of Ice and Fire #2),Add a comment,Â10.79,Three,5
Vogue Colors A to Z: A Fashion Coloring Book,Default,Â52.35,Four,4
The Shining (The Shining #1),Default,Â27.88,Three,4
